name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,gw,player_id,first_name,last_name
Ryan Fredericks,DEF,West Ham,1.3,0,0,9,0,25.6,438,28,0,0,4,14.2,2020-09-27T18:00:00Z,48,20,0,0,0,0,3,0,38706,0,4,0,1,-191,5768,5959,45,TRUE,0,3,438,Ryan,Fredericks
Ryan Inniss,DEF,Crystal Palace,0,0,0,0,0,0,534,21,0,0,0,0,2020-09-26T14:00:00Z,0,7,0,0,0,0,3,0,4732,2,1,0,0,1962,2569,607,40,TRUE,0,3,534,Ryan,Inniss
Ryan Sessegnon,DEF,Spurs,0.5,0,0,0,0,0,399,26,0,0,0,0,2020-09-27T13:00:00Z,0,14,0,0,0,0,3,0,13413,1,1,0,0,-3008,378,3386,49,TRUE,0,3,399,Ryan,Sessegnon
Rúben Diogo da Silva Neves,MID,Wolves,1.7,0,0,18,0,7,466,28,4,0,4.4,21,2020-09-27T18:00:00Z,90,19,0,0,0,0,3,0,147330,0,4,16,2,-15438,7587,23025,55,FALSE,0,3,466,Rúben Diogo,da Silva Neves
Rúben Gonçalo Silva Nascimento Vinagre,DEF,Wolves,0.3,0,0,17,0,23.3,471,28,4,0,4,16.4,2020-09-27T18:00:00Z,90,19,0,0,0,0,3,0,399790,0,4,0,0,-82049,31733,113782,44,FALSE,0,3,471,Rúben Gonçalo,Silva Nascimento Vinagre
Rúnar Alex Rúnarsson,GK,Arsenal,1.3,0,0,0,0,0,547,23,0,0,0,0,2020-09-28T19:00:00Z,0,11,0,0,0,0,3,0,299,1,3,0,0,101,134,33,45,FALSE,0,3,547,Rúnar Alex,Rúnarsson
Sadio Mané,MID,Liverpool,8.8,0,1,22,0,26.5,251,23,1,1,15.4,43,2020-09-28T19:00:00Z,79,1,0,0,0,0,3,0,704103,1,3,84,7,55243,122337,67094,119,TRUE,1,3,251,Sadio,Mané
Sam Field,MID,West Brom,-0.3,0,0,3,0,0,423,27,1,0,0.1,1,2020-09-26T16:30:00Z,1,5,0,0,0,0,3,0,1778,3,3,0,1,-135,201,336,49,TRUE,0,3,423,Sam,Field
Sam Johnstone,GK,West Brom,0.7,0,0,23,0,0,417,27,3,0,4.7,46.6,2020-09-26T16:30:00Z,90,5,0,0,0,0,3,7,48344,3,3,0,3,-5507,3358,8865,45,TRUE,0,3,417,Sam,Johnstone
Sam Woods,DEF,Crystal Palace,0,0,0,0,0,0,522,21,0,0,0,0,2020-09-26T14:00:00Z,0,7,0,0,0,0,3,0,20234,2,1,0,0,449,4682,4233,40,TRUE,0,3,522,Sam,Woods
Sander Berge,MID,Sheffield Utd,2.2,0,0,10,0,22.4,360,25,1,0,3.8,12,2020-09-27T11:00:00Z,90,10,0,0,0,0,3,0,11089,1,0,4,2,-161,1686,1847,50,TRUE,0,3,360,Sander,Berge
Scott Dann,DEF,Crystal Palace,0.6,0,0,0,0,0,486,21,0,0,0,0,2020-09-26T14:00:00Z,0,7,0,0,0,0,3,0,72733,2,1,0,0,-10225,8490,18715,45,TRUE,0,3,486,Scott,Dann
Scott McTominay,MID,Man Utd,2,0,0,0,0,0,309,19,0,0,0,0,2020-09-26T11:30:00Z,0,3,0,0,0,0,3,0,23212,3,2,0,0,-674,3326,4000,50,FALSE,0,3,309,Scott,McTominay
Sead Kolasinac,DEF,Arsenal,0.2,0,0,0,0,0,14,23,0,0,0,0,2020-09-28T19:00:00Z,0,11,0,0,0,0,3,0,17142,1,3,0,0,-427,2149,2576,49,FALSE,0,3,14,Sead,Kolasinac
Seamus Coleman,DEF,Everton,4.3,1,1,22,0,11.3,152,21,1,0,5,36.2,2020-09-26T14:00:00Z,90,6,0,0,0,0,3,0,131420,2,1,2,6,9004,32804,23800,50,FALSE,0,3,152,Seamus,Coleman
Sean Longstaff,MID,Newcastle,-0.2,0,0,0,0,0,480,26,0,0,0,0,2020-09-27T13:00:00Z,0,17,0,0,0,0,3,0,7117,1,1,0,0,-1150,365,1515,49,FALSE,0,3,480,Sean,Longstaff
Serge Aurier,DEF,Spurs,0.5,0,0,0,0,0,389,26,0,0,0,0,2020-09-27T13:00:00Z,0,14,0,0,0,0,3,0,123513,1,1,0,0,-52114,2664,54778,53,TRUE,0,3,389,Serge,Aurier
Sergio Agüero,FWD,Man City,0,0,0,0,0,0,268,24,0,0,0,0,2020-09-27T15:30:00Z,0,9,0,0,0,0,3,0,116374,5,2,0,0,-118886,10519,129405,104,TRUE,0,3,268,Sergio,Agüero
Sergio Reguilón,DEF,Spurs,1.5,0,0,0,0,0,542,26,0,0,0,0,2020-09-27T13:00:00Z,0,14,0,0,0,0,3,0,10638,1,1,0,0,8063,12364,4301,55,TRUE,0,3,542,Sergio,Reguilón
Sergio Romero,GK,Man Utd,0,0,0,0,0,0,289,19,0,0,0,0,2020-09-26T11:30:00Z,0,3,0,0,0,0,3,0,8733,3,2,0,0,-2408,49,2457,50,FALSE,0,3,289,Sergio,Romero
Shane Duffy,DEF,Brighton,0,0,0,0,0,0,58,19,0,0,0,0,2020-09-26T11:30:00Z,0,13,0,0,0,0,3,0,4535,3,2,0,0,-1043,132,1175,44,TRUE,0,3,58,Shane,Duffy
Shane Long,FWD,Southampton,0.7,0,0,0,0,0,361,20,0,0,0,0,2020-09-26T19:00:00Z,0,4,0,0,0,0,3,0,75601,1,0,0,0,-17661,5513,23174,54,FALSE,0,3,361,Shane,Long
Shkodran Mustafi,DEF,Arsenal,0,0,0,0,0,0,7,23,0,0,0,0,2020-09-28T19:00:00Z,0,11,0,0,0,0,3,0,1030,1,3,0,0,-102,9679,9781,50,FALSE,0,3,7,Shkodran,Mustafi
Simon Moore,GK,Sheffield Utd,0.5,0,0,0,0,0,348,25,0,0,0,0,2020-09-27T11:00:00Z,0,10,0,0,0,0,3,0,15103,1,0,0,0,-1535,229,1764,45,TRUE,0,3,348,Simon,Moore
Sofiane Boufal,MID,Southampton,0,0,0,0,0,0,372,20,0,0,0,0,2020-09-26T19:00:00Z,0,4,0,0,0,0,3,0,3832,1,0,0,0,-823,193,1016,54,FALSE,0,3,372,Sofiane,Boufal
Sokratis Papastathopoulos,DEF,Arsenal,-0.4,0,0,0,0,0,2,23,0,0,0,0,2020-09-28T19:00:00Z,0,11,0,0,0,0,3,0,6874,1,3,0,0,-1641,9673,11314,49,FALSE,0,3,2,Sokratis,Papastathopoulos
Solomon March,MID,Brighton,3.3,0,1,31,0,18.2,65,19,3,1,13.1,47.2,2020-09-26T11:30:00Z,90,13,0,0,0,0,3,0,5890,3,2,66,8,658,2011,1353,50,TRUE,0,3,65,Solomon,March
